"BAD";"LOAN";"MORTDUE";"VALUE";"REASON";"JOB";"YOJ";"DEROG";"DELINQ";"CLAGE";"NINQ";"CLNO";"DEBTINC"
1;12000;74427;96270;"DebtCon";"Other";18;0;1;169.73333333;2;40;34.7734055545
0;24800;65444;45167;"DebtCon";"Other";7;0;0;84.735617935;1;12;28.457018931
0;14600;6871;52457;"DebtCon";"ProfExe";4;0;0;317.24400167;0;16;17.617908723
0;28600;105907;156126;"DebtCon";"ProfExe";10;0;0;165.09073496;1;17;33.231300882
0;37500;111248;159739;"DebtCon";"Other";7;0;0;260.08148423;2;13;36.393348123
0;5700;28127;36524;"HomeImp";"ProfExe";10;0;0;181.28295679;0;13;24.339533569
0;17000;45671;64516;"HomeImp";"Other";27;0;0;246.17972137;0;13;25.701205603
0;29800;225481;290762;"DebtCon";"ProfExe";13;0;1;239.32163058;1;26;24.77798542
0;17500;153839;194027;"DebtCon";"Other";7;0;0;173.5744163;1;15;29.113651196
0;15400;50402;65561;"DebtCon";"Mgr";25;0;0;282.62290524;0;16;38.097902468
1;41200;48400;99500;"DebtCon";"Other";3;1;1;203.8;2;38;34.7734055545
1;15300;96700;89000;"HomeImp";"Other";5;0;1;225.16666667;0;24;34.7734055545
0;21000;94019;134565;"DebtCon";"ProfExe";7;0;0;196.19790754;0;21;26.86773396
0;18000;52301;79959;"DebtCon";"Other";1;0;1;290.2806482;0;9;37.16369797
1;7700;14589;33100;"DebtCon";"Other";3;0;7;122.06666667;0;22;34.7734055545
0;30300;54352;79302;"DebtCon";"Office";0;0;0;152.20277687;3;19;41.62936282
1;11000;54100;70438;"DebtCon";"Self";2;3;1;115.6;1;25;34.7734055545
0;5500;93051;115374;"HomeImp";"ProfExe";6;0;0;187.02051879;1;27;27.646748505
0;12700;107653;129752;"HomeImp";"ProfExe";8;0;0;181.0272753;2;32;29.466721027
0;40300;369874;467112;"HomeImp";"ProfExe";2;0;0;328.19889377;4;15;40.799921408
0;28900;102108;147463;"DebtCon";"Mgr";19;0;0;205.8658949;0;13;41.654211317
0;21500;135899;186976;"DebtCon";"ProfExe";18;0;0;227.34748644;1;24;42.660677489
1;20000;60336;132430;"DebtCon";"Other";25;1;0;258.66666667;1;21;34.7734055545
0;62700;120598;207803;"DebtCon";"ProfExe";9;0;0;304.31461506;2;26;36.436251812
0;20400;153958;195834;"DebtCon";"Other";9;0;0;173.5744163;1;15;31.134624378
1;21900;108000;144940;"DebtCon";"Other";13;0;0;260.76666667;1;22;34.7734055545
0;17300;40280;66319;"DebtCon";"Other";4;0;0;101.32557693;2;9;27.975935447
0;18600;96993;134785;"DebtCon";"Mgr";14;0;0;173.89751303;2;25;33.363269718
0;12000;43000;64000;"DebtCon";"Other";1;0;0;262.96666667;0;21;34.7734055545
1;8800;67200;80300;"HomeImp";"Other";10;4;1;135.86666667;1;33;34.7734055545
0;41800;363737;469748;"HomeImp";"ProfExe";4;0;0;327.74375515;4;14;43.80929207
0;81400;22344;108280;"HomeImp";"Other";25;0;0;148.11499352;0;14;34.285741432
0;21400;113053;147467;"DebtCon";"Office";11;0;2;219.1538803;0;24;41.824914424
1;24900;77000;115006;"DebtCon";"Other";10;0;0;293.23333333;0;36;34.7734055545
0;5000;47479;61690;"DebtCon";"Other";5;0;0;65.032969007;1;16;36.699414922
0;15800;103537;111139;"DebtCon";"Office";3;0;1;252.26775758;1;34;27.674063965
0;23500;18989;51607;"DebtCon";"Other";26;0;1;206.76549496;0;24;27.551408817
0;10300;57676;71027;"DebtCon";"Other";19;0;0;157.51963708;1;11;33.992366066
1;12500;69192;105300;"DebtCon";"Mgr";4;0;0;282.03333333;1;23;34.7734055545
0;10700;48322;64383;"DebtCon";"Other";0;1;0;185.25673471;2;12;28.030801551
1;8700;62600;77600;"DebtCon";"Other";0.5;1;0;351.03333333;3;13;34.7734055545
1;14700;94672;89000;"DebtCon";"Other";14;0;1;67.038031911;0;11;40.317434429
1;14700;148396;162403;"DebtCon";"Mgr";13;0;0;163.4989942;0;31;35.428415656
0;13500;92989;111120;"DebtCon";"Other";13;0;0;209.46059432;3;15;39.521844526
0;9000;50513;61190;"DebtCon";"Other";5;0;0;75.388551244;1;11;30.498005118
1;8600;65444;25000;"HomeImp";"Other";0;6;0;64.866666667;2;27;34.7734055545
0;10700;49573;68125;"DebtCon";"Other";2;0;0;223.2;0;10;34.7734055545
0;15500;25751;43531;"DebtCon";"Office";0;0;0;213.35928169;0;16;37.794991933
0;11400;84278;200480;"HomeImp";"Self";14;0;0;4.4127700608;1;8;19.112485067
0;27000;54834;85391;"DebtCon";"Other";9;0;1;132.57854459;2;30;39.305739117
0;5700;76948;85753;"HomeImp";"Other";7;0;0;128.47645151;0;25;37.85968784
0;15000;26284;40908;"DebtCon";"ProfExe";20;0;1;198.83120375;1;16;32.012392305
1;25000;47032;75957;"DebtCon";"Other";9;0;7;259.46652785;3;22;40.787975749
0;8200;51730;59025;"DebtCon";"Other";16;0;3;220.81329019;0;37;24.380092654
0;17600;71983;97939;"DebtCon";"Office";1;0;0;144.36621588;3;19;29.808589765
0;10100;137299;200339;"DebtCon";"ProfExe";0;0;0;66.357590464;2;23;35.2377013
0;8300;45842;50006;"DebtCon";"Other";16;0;0;90.653070126;0;12;31.360821946
0;23100;83458;107589;"DebtCon";"Mgr";24;0;0;314.06637396;1;43;38.043726208
1;28900;63748;36392;"DebtCon";"Sales";9;4;1;124.24789861;6;23;44.578500055
0;13600;101377;131079;"HomeImp";"ProfExe";10;0;0;174.34778761;2;32;27.969137978
0;20500;76620;185666;"DebtCon";"Other";8;0;0;360.64005406;1;16;33.754318614
1;7500;65444;51610;"HomeImp";"ProfExe";4;0;3;158.26666667;2;18;34.7734055545
1;13800;97778;116814;"DebtCon";"Other";15;1;3;120.78139621;1;22;23.20471329
1;11700;65444;67940;"HomeImp";"Mgr";3;3;4;204.02559324;1;38;34.7734055545
0;25100;96627;128022;"DebtCon";"ProfExe";1;0;0;197.63347142;3;37;35.980542351
0;15100;39679;62674;"DebtCon";"Other";5;1;0;95.599100855;1;9;28.505590561
1;25000;132000;165000;"DebtCon";"ProfExe";10;0;0;196.83333333;1;29;34.7734055545
0;25000;72077;104294;"DebtCon";"Mgr";1;0;0;232.05112346;4;24;40.645479766
0;24600;65444;146804;"DebtCon";"Other";7;0;0;173.5744163;1;20;17.263534849
1;15000;18900;80400;"DebtCon";"ProfExe";7;0;1;142;0;12;34.7734055545
0;23100;141937;179756;"HomeImp";"Mgr";6;0;0;328.39849318;0;16;43.910045849
0;19500;58474;89240;"DebtCon";"Office";6;0;0;172.87214555;1;15;38.823782794
0;21800;65444;25566;"DebtCon";"ProfExe";8;0;0;114.54175113;1;19;21.825631046
1;1500;65444;89000;"DebtCon";"Other";7;0;0;173.5744163;1;20;34.7734055545
0;15700;65444;28198;"DebtCon";"Other";12;0;0;87.620526369;2;9;32.445475521
0;10400;21235;40116;"DebtCon";"Other";3;0;0;173.5744163;1;20;36.905414314
0;13700;32942;40143;"HomeImp";"Other";8;0;0;65.000742252;2;12;30.268368849
1;18900;61429;84990;"DebtCon";"ProfExe";8;3;1;166.17939921;2;64;40.436704805
0;13100;74832;98616;"HomeImp";"ProfExe";6;0;0;101.36228964;1;26;27.021480654
0;8000;75690;96517;"DebtCon";"ProfExe";1;0;0;173.5744163;1;20;27.336157387
0;10900;56793;68825;"DebtCon";"Other";3;0;0;225.88904146;0;9;34.727875189
1;20500;85884;103546;"DebtCon";"Other";5;9;0;39.985829576;5;16;34.068268927
0;14700;106417;123580;"HomeImp";"ProfExe";9;0;0;166.49606529;3;31;29.316710061
0;24300;65444;144123;"DebtCon";"Other";7;0;0;173.5744163;1;20;15.529230143
0;7700;32243;36369;"HomeImp";"ProfExe";12;0;0;180.41578673;0;13;21.72081838
0;15000;18000;163580;"HomeImp";"Self";7;0;0;304.36666667;0;27;34.7734055545
0;47000;42437;109553;"HomeImp";"Self";10;0;0;206.71407561;2;35;40.142521056
0;28500;49461;83352;"DebtCon";"Other";21;0;0;210.02505835;0;26;37.301764099
0;28100;112564;162129;"DebtCon";"ProfExe";7;0;0;115.56446202;2;26;33.091681472
0;9500;21900;35250;"HomeImp";"Mgr";16;0;0;59.866666667;1;10;34.7734055545
0;8400;43589;49950;"DebtCon";"Office";9;0;0;202.70454037;0;23;33.592318942
0;20100;14749;74584;"DebtCon";"Office";7;0;0;252.60593155;0;22;38.801877068
0;12900;61031;71550;"HomeImp";"Other";28;0;2;178.08725678;0;23;34.802428777
0;20200;88020;139200;"DebtCon";"Other";10;0;0;99.04640244;3;15;39.916957294
1;12500;41301;60000;"DebtCon";"Other";2;0;0;77.233333333;0;12;34.7734055545
0;9800;47126;57365;"DebtCon";"Other";0;0;1;91.141218712;0;19;38.657640295
1;24000;88783;116967;"DebtCon";"Self";2;0;0;171.50625674;5;23;56.961838569
0;7400;88288;119677;"HomeImp";"ProfExe";5;0;0;194.37214004;1;27;26.646083641
1;15500;57993;82248;"DebtCon";"Other";10;0;0;173.07296854;0;16;32.142468978
0;16400;65444;51454;"DebtCon";"Other";7;0;0;338.11080678;1;17;33.491836085
0;18500;99474;127470;"DebtCon";"Office";22;0;0;287.00225626;3;16;30.996027629
0;12800;99160;114619;"HomeImp";"Office";2;0;0;142.2125619;0;22;35.949877053
0;15900;107336;120451;"DebtCon";"Other";1;0;0;123.46551939;2;21;37.99240801
0;36800;35077;53120;"DebtCon";"Other";7;0;0;173.5744163;6;0;34.985012561
0;15800;78905;97628;"DebtCon";"Other";0;0;0;152.17113748;0;23;42.218282221
0;28200;109184;207035;"DebtCon";"Other";23;0;0;179.93775089;0;18;23.662456689
0;30400;45747;78829;"DebtCon";"Office";0;0;0;174.36374815;3;18;41.256794683
0;18700;66197;83151;"HomeImp";"ProfExe";12;0;2;157.94598178;0;14;29.349485795
0;14500;52440;62150;"DebtCon";"Other";4;0;0;174.67690038;0;13;27.191720909
0;8700;77930;80164;"HomeImp";"Other";20;0;0;350.52840986;1;47;29.6623601
0;32900;37265;76154;"DebtCon";"Other";7;0;0;128.73114318;1;23;34.857977062
0;12000;98428;114820;"DebtCon";"Other";16;0;1;188.14820819;2;15;36.737721285
0;6200;73881;98550;"HomeImp";"Other";0;0;1;182.8787798;0;31;37.19944569
0;35000;239058;40848;"DebtCon";"Mgr";4;0;1;212.01540583;3;49;40.131815447
0;21900;65444;57036;"DebtCon";"Other";7;0;0;308.60344479;0;18;39.2346081
0;8600;45960;57473;"DebtCon";"Mgr";4;0;0;189.76806013;0;22;26.754411554
0;17200;33073;85654;"DebtCon";"ProfExe";7;0;0;163.39478871;1;20;28.274888868
0;36300;26662;70000;"DebtCon";"ProfExe";5;0;0;190.8;2;18;34.7734055545
0;18100;53524;102133;"HomeImp";"Other";0;0;3;52.94238739;1;9;40.616797274
0;14300;85631;100000;"HomeImp";"Other";20;0;0;144.99929699;3;23;30.130636379
0;20000;32000;56373;"DebtCon";"Other";1;0;0;113.56666667;1;17;34.7734055545
0;12500;37562;57081;"HomeImp";"Other";22;0;1;129.48684395;0;23;39.083002442
0;12200;67474;88473;"DebtCon";"Other";2;0;0;234.77599668;3;26;29.097298793
0;10300;59340;84708;"HomeImp";"Other";13;0;0;222.36488939;1;36;34.925984254
0;13400;65444;33664;"DebtCon";"Other";13;0;0;108.21700943;2;8;31.613929557
0;43200;367917;466755;"HomeImp";"ProfExe";3;0;0;312.30633923;4;15;42.62357404
1;8900;72581;90585;"DebtCon";"Office";18;1;1;207.96666667;0;30;34.7734055545
0;7200;71509;86484;"DebtCon";"Other";4;0;0;173.5744163;1;20;20.099049784
0;8600;22960;80874;"HomeImp";"ProfExe";20;0;0;238.70268339;0;11;25.887319897
1;21000;69231;95000;"DebtCon";"ProfExe";8;0;7;116.7;1;22;34.7734055545
0;19000;52157;157459;"DebtCon";"ProfExe";19;0;0;248.72353316;0;28;21.92019846
1;28000;86600;127000;"DebtCon";"ProfExe";6.5;0;4;234.36666667;5;35;34.7734055545
0;20500;87892;136867;"DebtCon";"Other";10;0;0;96.929644692;3;15;40.162919392
0;22400;127967;167764;"DebtCon";"Office";1;0;0;377.86498468;1;52;36.438724078
0;16500;48674;73720;"DebtCon";"ProfExe";17;0;0;186.47307149;0;23;38.37360781
0;20100;45764;79967;"DebtCon";"Other";7;0;0;173.5744163;1;20;38.647727907
0;25000;83624;116976;"DebtCon";"ProfExe";9;0;0;129.54959324;0;19;29.427733682
0;23900;65444;62276;"DebtCon";"Other";26;0;0;127.02462497;0;8;20.407825584
0;41700;59889;109250;"DebtCon";"Mgr";16;0;0;187.13281076;0;22;36.968814443
0;15000;65444;48800;"DebtCon";"Office";2;0;0;86.266666667;2;9;34.7734055545
0;12300;89333;106107;"HomeImp";"Other";19;0;0;120.25788605;3;24;28.774702133
0;14300;89984;121189;"HomeImp";"Mgr";4;0;2;137.59782329;0;25;41.613325222
1;3400;37000;52000;"HomeImp";"Office";2;0;1;183.29991561;0;6;34.7734055545
0;9700;59633;70398;"HomeImp";"Other";4;0;0;239.03820584;1;16;38.867248989
0;25700;63054;104624;"DebtCon";"Other";15;0;1;132.10711721;0;29;40.205292882
0;10600;44696;57686;"DebtCon";"Office";0;0;0;170.34097406;0;20;37.792555026
0;10700;29569;47842;"DebtCon";"Other";12;0;1;144.81717461;7;28;36.784582009
0;6800;57439;74816;"HomeImp";"Mgr";2;0;2;126.30323511;0;22;27.118653527
0;10900;22513;52355;"HomeImp";"Other";1;0;0;248.58340866;0;10;39.204625006
0;22200;138584;180415;"DebtCon";"ProfExe";5;0;0;195.63280771;4;43;41.205399011
1;25900;21852;57518;"HomeImp";"Other";2;0;0;80.168479422;2;11;31.983686037
0;16000;96000;160050;"DebtCon";"Other";7;1;0;260.76666667;1;24;34.7734055545
0;13800;40674;61216;"DebtCon";"Other";7;0;0;108.79023328;2;19;40.990703819
0;10900;17282;70783;"DebtCon";"ProfExe";19;0;1;404.9043933;0;11;23.610124369
0;7900;41935;53543;"DebtCon";"Office";8;0;0;203.54460997;1;22;31.491686795
0;13800;67762;80748;"DebtCon";"Sales";8;0;0;135.94862249;0;35;27.194107012
0;17600;88661;114922;"DebtCon";"Other";13;0;0;152.75401017;1;7;36.766273628
0;10200;34522;43076;"HomeImp";"Other";9;0;0;92.907548338;0;3;36.845356693
0;15000;84000;110975;"DebtCon";"Other";20;0;0;282.16666667;1;17;34.7734055545
0;10200;65803;85155;"HomeImp";"Other";15;0;0;218.48175459;0;36;36.182192009
1;16100;49371;77400;"DebtCon";"Office";3;2;2;214.06037616;1;51;44.21676389
1;13000;177000;200000;"DebtCon";"Mgr";3;0;2;195.83333333;1;50;34.7734055545
1;20000;27900;89000;"HomeImp";"Mgr";21;0;0;173.5744163;1;20;34.7734055545
1;13500;70000;93500;"DebtCon";"Sales";25;0;0;250.63333333;0;46;34.7734055545
0;13000;65444;25552;"HomeImp";"Other";28;0;0;198.0728056;0;5;25.507820486
0;16800;62557;95747;"DebtCon";"Other";0;0;0;188.18900504;1;31;35.285844744
0;22400;135912;181863;"HomeImp";"Mgr";7;0;0;316.99290614;0;17;45.006818085
0;10300;45275;62724;"HomeImp";"Other";11;0;1;109.32463871;3;34;37.291824994
0;14400;46955;67304;"DebtCon";"Other";2;0;0;171.6224654;0;13;36.555188948
0;11300;62168;80681;"DebtCon";"Sales";6;0;0;117.3762292;0;34;27.694521271
0;19200;68902;98737;"DebtCon";"Office";1;0;0;166.81657408;4;19;33.035075976
0;9700;59100;74986;"HomeImp";"Office";14;0;0;244.53333333;1;32;34.7734055545
0;26500;240782;267675;"HomeImp";"Self";6;0;0;229.30702576;1;50;37.740918996
0;22500;127709;167975;"DebtCon";"Office";1;0;0;367.18951506;1;51;37.888049808
0;20200;65444;68031;"HomeImp";"Office";6;0;0;120.59346503;1;4;18.320487992
1;18800;73396;137076;"DebtCon";"Office";18;0;1;163.59204517;4;20;40.375372412
0;13400;69612;87728;"DebtCon";"Other";3;0;0;165.03026745;1;35;30.444839071
0;16700;62933;91790;"DebtCon";"Other";2;0;0;185.37246242;0;31;35.25727149
0;26900;113724;151969;"DebtCon";"Office";4;0;0;294.89276272;1;36;42.397248986
0;17900;62697;89848;"DebtCon";"Office";7;0;0;113.05889691;0;19;24.072191356
0;25500;143881;178914;"DebtCon";"ProfExe";7;0;0;323.0225718;0;35;37.575821975
0;12200;82904;125057;"DebtCon";"Office";8;0;0;131.6590526;1;21;37.273139992
0;21400;75563;96159;"DebtCon";"Other";7;1;0;248.64649535;2;13;42.176585064
0;11200;65444;48150;"HomeImp";"Mgr";3;0;0;165.76801721;1;9;22.302234366
0;18100;27239;39723;"DebtCon";"Mgr";17;0;0;111.53221405;1;16;24.449452808
0;15600;92789;123455;"DebtCon";"Other";13;0;0;176.73493223;0;26;36.544273113
1;11200;68990;81922;"DebtCon";"Mgr";12;0;1;120.88581123;2;23;43.159875329
0;17400;45861;61256;"DebtCon";"Other";7;0;0;132.01922665;3;48;30.186567466
0;28800;132019;168828;"DebtCon";"Mgr";0;0;0;231.28613401;1;24;35.490305671
1;28100;72100;112000;"DebtCon";"ProfExe";20;4;1;120.73333333;1;58;34.7734055545
0;11500;53151;71645;"HomeImp";"Other";7;0;0;135.80047603;0;16;35.851614414
0;12400;36034;62953;"DebtCon";"ProfExe";9;0;0;262.07934525;0;16;21.345227351
0;40900;18760;69373;"DebtCon";"Other";19;0;0;211.6988199;1;31;39.922586879
1;47000;159500;230000;"DebtCon";"Office";3;0;0;173.5744163;0;0;34.7734055545
0;31400;37750;76204;"DebtCon";"Other";7;0;0;268.26493058;0;16;41.448763305
0;15300;83004;121108;"DebtCon";"Other";7;0;0;173.5744163;1;20;36.823393194
0;14200;84718;103804;"HomeImp";"Other";21;0;0;123.66357507;4;23;30.635348147
0;20000;127826;277500;"HomeImp";"Mgr";3;0;0;193.8;0;15;34.7734055545
0;8800;56963;70607;"HomeImp";"Other";4;0;0;99.76441458;3;19;40.345260733
0;17600;56090;103992;"HomeImp";"Other";1;0;2;46.875135751;1;10;39.081826438
1;10700;55043;68609;"DebtCon";"Other";2;0;0;46.272175955;1;17;25.448844532
1;35000;227000;316000;"HomeImp";"ProfExe";3;0;0;160.26666667;1;25;34.7734055545
0;18300;109437;114900;"DebtCon";"Other";1;0;0;138.17185084;1;20;38.332316894
