"BAD";"LOAN";"MORTDUE";"VALUE";"REASON";"JOB";"YOJ";"DEROG";"DELINQ";"CLAGE";"NINQ";"CLNO";"DEBTINC"
0;1700;97800;112000;"HomeImp";"Office";3;0;0;93.333333333;0;14;34.7734055545
1;1800;28502;43034;"HomeImp";"Other";11;0;0;88.766029879;0;8;36.884894093
1;2000;45000;55000;"HomeImp";"Other";3;0;0;86.066666667;2;25;34.7734055545
1;2100;71000;83850;"HomeImp";"Other";8;0;1;123;0;16;34.7734055545
1;2200;24280;34687;"HomeImp";"Other";7;0;1;300.86666667;0;8;34.7734055545
1;2400;18000;89000;"HomeImp";"Mgr";22;0;2;121.73333333;0;10;34.7734055545
0;2500;71408;78600;"HomeImp";"ProfExe";8;0;0;255.73333333;0;12;34.7734055545
0;3000;104570;121729;"HomeImp";"Office";2;0;0;85.884371895;0;14;32.059783267
1;3000;65444;33000;"HomeImp";"Other";1;0;1;23.3;1;2;34.7734055545
1;3000;20000;29750;"DebtCon";"Other";2;0;0;187.06666667;0;12;34.7734055545
1;3100;39589;36100;"HomeImp";"Other";1.5;0;0;153.16666667;1;14;34.7734055545
1;3200;54000;64850;"HomeImp";"Other";1;0;0;121.86666667;3;21;34.7734055545
1;3200;23159;89000;"HomeImp";"Mgr";20;0;2;117.80574784;0;9;0.5244992154
1;3300;130518;164317;"DebtCon";"Other";9;0;6;192.28914897;0;33;35.73055919
1;3600;61584;61800;"HomeImp";"ProfExe";10;0;0;173.5744163;1;20;34.7734055545
0;3600;83700;111800;"HomeImp";"ProfExe";6;0;0;192.73333333;1;28;34.7734055545
0;3600;100693;114743;"HomeImp";"Office";6;0;0;88.470452135;0;14;29.393543382
1;3800;19135;97692;"HomeImp";"Mgr";1.6;1;6;252.63333333;1;25;34.7734055545
0;3800;11543;46045;"HomeImp";"Self";7;0;0;204.64799167;0;11;42.173165882
1;3900;29896;45960;"HomeImp";"Other";11;0;0;146.12324219;0;14;24.478881191
0;3900;52825;63000;"DebtCon";"ProfExe";8;0;4;171.66666667;1;31;34.7734055545
0;4000;54543;61777;"HomeImp";"Office";21;0;0;205.58668003;0;19;21.806563464
1;4000;17000;52012;"HomeImp";"ProfExe";22;3;1;85.333333333;1;9;34.7734055545
1;4100;58500;65000;"HomeImp";"Other";8;1;2;63.933333333;2;15;34.7734055545
0;4200;67700;77000;"DebtCon";"Sales";4;0;0;128.83333333;0;31;34.7734055545
0;4200;50216;58541;"HomeImp";"Office";19;0;0;209.87130224;0;19;20.20803267
0;4300;68815;79852;"HomeImp";"Other";6;0;0;105.12070881;0;14;41.806376152
0;4500;65444;77182;"DebtCon";"Other";7;0;0;173.5744163;1;20;25.227252904
1;4500;34184;46000;"HomeImp";"Mgr";3.5;0;1;122.6;2;22;34.7734055545
0;4700;71855;88566;"HomeImp";"Other";2;2;0;283.95953809;0;5;36.475473283
0;4700;53918;59511;"DebtCon";"Other";6;0;0;54.13647743;1;15;34.416507811
1;4700;49100;58238;"HomeImp";"ProfExe";0.1;0;0;61.8;2;17;34.7734055545
